Unnamed: 0,current_size,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,duration_from_reported_to_dispatch,fire_spread_rate_squared,temperature_squared,relative_humidity_squared,wind_speed_squared,fire_fighting_start_size_squared,size_class_A,size_class_B,size_class_C,size_class_D,size_class_E
4,0.06,0.0,15.0,35.0,10.0,0.06,0.0,0.0,225.0,1225.0,100.0,0.0036,1,0,0,0,0
6,0.01,0.0,4.0,65.0,30.0,0.01,5.0,0.0,16.0,4225.0,900.0,0.0001,1,0,0,0,0
10,0.01,0.0,0.0,60.0,16.0,0.01,39.0,0.0,0.0,3600.0,256.0,0.0001,1,0,0,0,0
11,0.01,0.0,7.0,70.0,15.0,0.01,0.0,0.0,49.0,4900.0,225.0,0.0001,1,0,0,0,0
12,0.01,0.0,18.0,20.0,3.0,0.01,15.0,0.0,324.0,400.0,9.0,0.0001,1,0,0,0,0
14,0.01,0.0,13.0,32.0,14.0,0.01,18.0,0.0,169.0,1024.0,196.0,0.0001,1,0,0,0,0
16,0.02,0.0,13.0,33.0,20.0,0.02,45.0,0.0,169.0,1089.0,400.0,0.0004,1,0,0,0,0
18,0.01,0.0,6.0,60.0,10.0,0.01,0.0,0.0,36.0,3600.0,100.0,0.0001,1,0,0,0,0
19,0.01,0.0,16.0,24.0,0.0,0.01,3.0,0.0,256.0,576.0,0.0,0.0001,1,0,0,0,0
20,0.03,0.1,17.0,25.0,30.0,0.05,0.0,0.01,289.0,625.0,900.0,0.0025,1,0,0,0,0
23,0.1,0.0,6.0,48.0,0.0,0.1,0.0,0.0,36.0,2304.0,0.0,0.01,1,0,0,0,0
30,0.1,0.5,19.0,23.0,10.0,0.08,3.0,0.25,361.0,529.0,100.0,0.0064,1,0,0,0,0
33,0.01,1.0,8.0,34.0,13.0,0.01,0.0,1.0,64.0,1156.0,169.0,0.0001,1,0,0,0,0
37,0.1,1.0,8.0,27.0,19.0,0.1,1.0,1.0,64.0,729.0,361.0,0.01,1,0,0,0,0
40,0.1,0.0,23.0,25.0,1.0,0.1,15.0,0.0,529.0,625.0,1.0,0.01,1,0,0,0,0
46,0.01,1.0,14.0,23.0,15.0,0.01,0.0,1.0,196.0,529.0,225.0,0.0001,1,0,0,0,0
48,0.01,1.0,10.0,32.0,8.0,0.01,4.0,1.0,100.0,1024.0,64.0,0.0001,1,0,0,0,0
50,0.01,0.0,-1.0,53.0,4.0,0.01,6.0,0.0,1.0,2809.0,16.0,0.0001,1,0,0,0,0
53,0.1,0.0,16.0,28.0,3.0,0.1,7.0,0.0,256.0,784.0,9.0,0.01,1,0,0,0,0
54,0.01,0.0,5.0,26.0,9.0,0.01,11.0,0.0,25.0,676.0,81.0,0.0001,1,0,0,0,0
60,0.01,0.1,11.0,14.0,4.0,0.1,1.0,0.01,121.0,196.0,16.0,0.01,1,0,0,0,0
66,0.01,0.0,3.0,47.0,1.0,0.01,0.0,0.0,9.0,2209.0,1.0,0.0001,1,0,0,0,0
67,0.1,1.0,-6.0,63.0,5.0,0.1,4.0,1.0,36.0,3969.0,25.0,0.01,1,0,0,0,0
68,0.01,0.0,-2.0,45.0,9.0,0.01,0.0,0.0,4.0,2025.0,81.0,0.0001,1,0,0,0,0
74,0.01,0.0,4.0,66.0,10.0,0.01,6.0,0.0,16.0,4356.0,100.0,0.0001,1,0,0,0,0
75,0.01,0.0,8.0,40.0,20.0,0.01,3.0,0.0,64.0,1600.0,400.0,0.0001,1,0,0,0,0
76,0.01,0.0,7.0,78.0,10.0,0.01,7.0,0.0,49.0,6084.0,100.0,0.0001,1,0,0,0,0
79,0.01,1.0,13.0,38.0,3.0,0.01,4.0,1.0,169.0,1444.0,9.0,0.0001,1,0,0,0,0
91,0.01,0.0,9.0,30.0,20.0,0.1,10.0,0.0,81.0,900.0,400.0,0.01,1,0,0,0,0
101,0.01,0.0,17.0,25.0,3.0,0.01,9.0,0.0,289.0,625.0,9.0,0.0001,1,0,0,0,0
105,0.1,1.0,18.0,32.0,10.0,0.1,0.0,1.0,324.0,1024.0,100.0,0.01,1,0,0,0,0
108,0.01,0.0,17.0,30.0,15.0,0.01,0.0,0.0,289.0,900.0,225.0,0.0001,1,0,0,0,0
111,0.1,0.0,16.0,40.0,4.0,0.1,8.0,0.0,256.0,1600.0,16.0,0.01,1,0,0,0,0
112,0.1,1.0,20.0,32.0,1.0,0.1,5.0,1.0,400.0,1024.0,1.0,0.01,1,0,0,0,0
123,0.01,0.0,20.0,22.0,25.0,0.01,8.0,0.0,400.0,484.0,625.0,0.0001,1,0,0,0,0
126,0.01,0.0,18.0,40.0,5.0,0.01,5.0,0.0,324.0,1600.0,25.0,0.0001,1,0,0,0,0
129,0.05,1.0,20.0,35.0,5.0,0.05,0.0,1.0,400.0,1225.0,25.0,0.0025,1,0,0,0,0
139,0.02,0.5,16.0,25.0,10.0,0.02,0.0,0.25,256.0,625.0,100.0,0.0004,1,0,0,0,0
140,0.01,0.1,24.0,33.0,15.0,0.01,2.0,0.01,576.0,1089.0,225.0,0.0001,1,0,0,0,0
143,0.1,0.1,24.0,28.0,3.0,0.01,0.0,0.01,576.0,784.0,9.0,0.0001,1,0,0,0,0
148,0.01,3.0,17.0,40.0,8.0,0.01,0.0,9.0,289.0,1600.0,64.0,0.0001,1,0,0,0,0
156,0.02,0.0,15.0,35.0,8.0,0.02,6.0,0.0,225.0,1225.0,64.0,0.0004,1,0,0,0,0
161,0.05,0.0,10.0,60.0,2.0,0.04,5.0,0.0,100.0,3600.0,4.0,0.0016,1,0,0,0,0
162,0.05,0.0,18.0,48.0,23.0,0.02,5.0,0.0,324.0,2304.0,529.0,0.0004,1,0,0,0,0
169,0.01,0.0,9.0,82.0,14.0,0.01,15.0,0.0,81.0,6724.0,196.0,0.0001,1,0,0,0,0
172,0.09,0.0,23.0,32.0,55.0,0.01,3.0,0.0,529.0,1024.0,3025.0,0.0001,1,0,0,0,0
175,0.01,0.0,27.0,25.0,20.0,0.01,3.0,0.0,729.0,625.0,400.0,0.0001,1,0,0,0,0
176,0.02,1.0,25.0,30.0,20.0,0.01,1.0,1.0,625.0,900.0,400.0,0.0001,1,0,0,0,0
183,0.05,1.0,22.0,38.0,1.0,0.05,8.0,1.0,484.0,1444.0,1.0,0.0025,1,0,0,0,0
194,0.01,1.0,18.0,32.0,16.0,0.2,6.0,1.0,324.0,1024.0,256.0,0.04,1,0,0,0,0
198,0.01,1.0,16.0,40.0,15.0,0.01,5.0,1.0,256.0,1600.0,225.0,0.0001,1,0,0,0,0
200,0.01,0.0,18.0,55.0,3.0,0.1,9.0,0.0,324.0,3025.0,9.0,0.01,1,0,0,0,0
201,0.01,1.0,23.0,50.0,7.0,0.01,9.0,1.0,529.0,2500.0,49.0,0.0001,1,0,0,0,0
206,0.01,0.0,9.0,54.0,13.0,0.01,6.0,0.0,81.0,2916.0,169.0,0.0001,1,0,0,0,0
207,0.01,0.0,17.0,35.0,25.0,0.01,34.0,0.0,289.0,1225.0,625.0,0.0001,1,0,0,0,0
209,0.05,1.0,16.0,60.0,15.0,0.05,5.0,1.0,256.0,3600.0,225.0,0.0025,1,0,0,0,0
216,0.1,0.0,18.0,35.0,10.0,0.1,4.0,0.0,324.0,1225.0,100.0,0.01,1,0,0,0,0
217,0.01,0.0,18.0,40.0,10.0,0.01,50.0,0.0,324.0,1600.0,100.0,0.0001,1,0,0,0,0
219,0.01,0.0,14.0,35.0,10.0,0.01,5.0,0.0,196.0,1225.0,100.0,0.0001,1,0,0,0,0
221,0.01,1.0,9.0,53.0,4.0,0.01,3.0,1.0,81.0,2809.0,16.0,0.0001,1,0,0,0,0
224,0.01,0.0,20.0,31.0,2.0,0.01,0.0,0.0,400.0,961.0,4.0,0.0001,1,0,0,0,0
229,0.01,0.0,18.0,30.0,5.0,0.01,8.0,0.0,324.0,900.0,25.0,0.0001,1,0,0,0,0
234,0.01,1.0,25.0,64.0,5.0,0.01,0.0,1.0,625.0,4096.0,25.0,0.0001,1,0,0,0,0
235,0.1,1.0,18.0,89.0,3.0,0.7,0.0,1.0,324.0,7921.0,9.0,0.4899999999999999,1,0,0,0,0
236,0.01,1.0,21.4,34.0,6.0,0.01,2.0,1.0,457.9599999999999,1156.0,36.0,0.0001,1,0,0,0,0
241,0.01,0.0,24.0,41.0,20.0,0.01,10.0,0.0,576.0,1681.0,400.0,0.0001,1,0,0,0,0
243,0.01,1.0,35.0,33.0,0.0,0.01,0.0,1.0,1225.0,1089.0,0.0,0.0001,1,0,0,0,0
245,0.01,0.0,19.0,40.0,4.0,0.01,12.0,0.0,361.0,1600.0,16.0,0.0001,1,0,0,0,0
248,0.02,1.0,16.5,35.0,20.0,0.02,8.0,1.0,272.25,1225.0,400.0,0.0004,1,0,0,0,0
251,0.01,0.0,19.0,40.0,4.0,0.01,6.0,0.0,361.0,1600.0,16.0,0.0001,1,0,0,0,0
254,0.05,0.0,18.0,50.0,20.0,0.01,12.0,0.0,324.0,2500.0,400.0,0.0001,1,0,0,0,0
255,0.01,0.0,17.0,48.0,15.0,0.01,0.0,0.0,289.0,2304.0,225.0,0.0001,1,0,0,0,0
272,0.01,1.0,23.0,56.0,0.0,0.01,2.0,1.0,529.0,3136.0,0.0,0.0001,1,0,0,0,0
274,0.1,2.0,33.0,35.0,9.0,0.1,0.0,4.0,1089.0,1225.0,81.0,0.01,1,0,0,0,0
277,0.01,0.1,32.0,62.0,0.0,0.01,6.0,0.01,1024.0,3844.0,0.0,0.0001,1,0,0,0,0
279,0.01,0.5,24.0,70.0,27.0,0.01,3.0,0.25,576.0,4900.0,729.0,0.0001,1,0,0,0,0
280,0.02,0.1,29.8,35.0,5.0,0.02,5.0,0.01,888.0400000000001,1225.0,25.0,0.0004,1,0,0,0,0
281,0.01,0.0,32.0,35.0,20.0,0.01,6.0,0.0,1024.0,1225.0,400.0,0.0001,1,0,0,0,0
284,0.01,1.0,35.0,26.0,20.0,0.01,4.0,1.0,1225.0,676.0,400.0,0.0001,1,0,0,0,0
285,0.01,1.0,21.0,90.0,3.0,0.01,0.0,1.0,441.0,8100.0,9.0,0.0001,1,0,0,0,0
288,0.01,0.0,25.0,69.0,2.0,0.01,1.0,0.0,625.0,4761.0,4.0,0.0001,1,0,0,0,0
292,0.01,0.0,22.0,55.0,25.0,0.01,0.0,0.0,484.0,3025.0,625.0,0.0001,1,0,0,0,0
293,0.01,0.0,21.0,75.0,10.0,0.01,2.0,0.0,441.0,5625.0,100.0,0.0001,1,0,0,0,0
294,0.01,0.0,19.0,70.0,10.0,0.01,0.0,0.0,361.0,4900.0,100.0,0.0001,1,0,0,0,0
