current_size,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,duration_from_reported_to_dispatch
5.5,3.0,28.8,37.0,11.0,5.5,1.0
0.1,0.5,16.0,19.0,15.0,0.1,1.0
499.5,2.0,30.0,32.0,19.0,0.5,5.0
0.01,0.0,-1.0,59.0,0.0,0.01,2698.0
0.06,0.0,15.0,35.0,10.0,0.06,0.0
0.2,0.0,3.0,60.0,20.0,0.2,31.0
0.01,0.0,4.0,65.0,30.0,0.01,5.0
0.01,0.0,-5.0,90.0,0.0,0.01,896.0
1.1,6.0,19.0,23.0,19.0,0.3,2.0
0.1,0.0,-3.0,81.0,13.0,0.1,1158.0
0.01,0.0,0.0,60.0,16.0,0.01,39.0
0.01,0.0,7.0,70.0,15.0,0.01,0.0
0.01,0.0,18.0,20.0,3.0,0.01,15.0
1.0,0.0,26.0,26.0,11.0,1.0,1426.0
0.01,0.0,13.0,32.0,14.0,0.01,18.0
0.03,0.0,2.0,45.0,10.0,0.03,1105.0
0.02,0.0,13.0,33.0,20.0,0.02,45.0
0.01,0.0,9.0,35.0,5.0,0.01,0.0
0.01,0.0,6.0,60.0,10.0,0.01,0.0
0.01,0.0,16.0,24.0,0.0,0.01,3.0
0.03,0.1,17.0,25.0,30.0,0.05,0.0
0.3,0.3,15.0,21.0,20.0,0.3,2.0
0.1,0.0,2.0,60.0,0.0,0.1,8.0
0.1,0.0,6.0,48.0,0.0,0.1,0.0
0.7,20.0,10.0,35.0,10.0,0.5,0.0
0.01,0.0,12.0,26.0,1.0,0.01,11.0
0.16,0.0,18.0,25.0,7.0,0.16,0.0
0.2,0.0,9.0,51.0,5.0,0.2,0.0
0.1,0.0,11.0,35.0,10.0,0.1,0.0
29.6,1.0,23.0,18.0,3.0,0.3,4.0
0.1,0.5,19.0,23.0,10.0,0.08,3.0
0.1,0.0,13.0,37.0,5.0,0.1,0.0
0.12,0.5,16.0,29.0,5.0,0.12,9.0
0.01,1.0,8.0,34.0,13.0,0.01,0.0
0.3,0.1,6.0,66.0,0.0,0.3,16.0
0.1,0.0,7.0,49.0,6.0,0.1,0.0
0.8,1.0,8.0,40.0,18.0,0.2,0.0
0.1,1.0,8.0,27.0,19.0,0.1,1.0
0.5,4.0,18.0,18.0,10.0,1.0,5.0
8.05,5.0,19.8,20.0,7.0,4.0,1.0
0.1,0.0,23.0,25.0,1.0,0.1,15.0
1.0,3.0,19.0,15.0,12.0,0.03,17.0
0.5,3.0,8.0,35.0,15.0,0.5,3.0
0.2,1.0,10.0,31.0,10.0,0.2,4.0
0.9,4.0,5.0,30.0,15.0,0.9,0.0
0.47,0.1,12.0,35.0,10.0,0.08,0.0
0.01,1.0,14.0,23.0,15.0,0.01,0.0
0.01,1.0,15.0,31.0,5.0,0.01,3.0
0.01,1.0,10.0,32.0,8.0,0.01,4.0
0.4,1.0,14.0,26.0,9.0,0.4,2.0
0.01,0.0,-1.0,53.0,4.0,0.01,6.0
0.2,0.0,20.0,17.0,5.0,0.2,0.0
0.01,0.0,15.0,27.0,5.0,0.01,0.0
0.1,0.0,16.0,28.0,3.0,0.1,7.0
0.01,0.0,5.0,26.0,9.0,0.01,11.0
0.01,0.0,6.0,24.0,2.0,0.01,0.0
0.01,0.0,4.0,30.0,5.0,0.01,0.0
0.01,1.0,1.0,35.0,5.0,0.01,0.0
1.4,6.0,13.0,26.0,0.0,1.0,10.0
0.2,0.5,7.0,16.0,10.0,0.5,1.0
0.01,0.1,11.0,14.0,4.0,0.1,1.0
0.27,0.0,7.0,31.0,7.0,0.2,2.0
0.8,0.0,8.0,26.0,3.0,0.8,0.0
0.1,0.5,10.0,25.0,5.0,0.1,5.0
0.12,1.0,10.0,37.0,5.0,0.2,4.0
47.4,5.0,17.8,18.0,4.0,6.0,13.0
0.01,0.0,3.0,47.0,1.0,0.01,0.0
0.1,1.0,-6.0,63.0,5.0,0.1,4.0
0.01,0.0,-2.0,45.0,9.0,0.01,0.0
479.3,6.0,18.0,22.0,10.0,10.0,4.0
119.9,15.0,19.0,16.0,25.0,70.0,2.0
1.0,0.0,20.0,26.0,20.0,1.0,117.0
6.5,2.0,16.0,40.0,35.0,6.5,2.0
0.01,0.0,3.0,66.0,10.0,0.01,8.0
0.01,0.0,4.0,66.0,10.0,0.01,6.0
0.01,0.0,8.0,40.0,20.0,0.01,3.0
0.01,0.0,7.0,78.0,10.0,0.01,7.0
0.01,0.0,0.0,40.0,3.0,0.01,0.0
0.5,0.1,13.0,40.0,3.0,0.5,2.0
0.01,1.0,13.0,38.0,3.0,0.01,4.0
0.1,0.0,16.0,21.0,8.0,0.1,5.0
0.5,5.0,18.5,28.0,5.0,0.5,0.0
0.38,2.0,15.0,20.0,5.0,0.5,9.0
0.18,2.0,17.0,19.0,8.0,0.18,17.0
0.5,5.0,15.0,21.0,5.0,0.5,0.0
0.55,2.0,18.6,44.0,3.0,0.33,1.0
0.01,0.0,20.0,20.0,20.0,0.01,1.0
11.1,5.0,19.0,23.0,23.0,5.0,4.0
0.01,5.0,15.0,21.0,5.0,0.01,1.0
3.8,8.0,19.0,37.0,25.0,1.5,1.0
0.2,5.0,12.0,27.0,5.0,0.3,1.0
0.01,0.0,9.0,30.0,20.0,0.1,10.0
0.07,0.0,14.3,38.0,8.0,0.07,0.0
0.3,0.0,14.3,38.0,8.0,0.3,11.0
0.5,5.0,12.0,41.0,29.0,0.5,0.0
0.3,5.0,15.0,34.0,5.0,0.3,19.0
1.74,2.0,16.0,23.0,21.0,0.2,1.0
0.3,5.0,15.0,24.0,14.0,0.3,0.0
0.01,0.0,1.0,52.0,2.0,0.01,10.0
0.13,0.5,18.0,18.0,20.0,0.1,0.0
0.2,1.0,-1.0,53.0,2.0,0.2,22.0
0.01,0.0,17.0,25.0,3.0,0.01,9.0
2.91,4.0,7.0,65.0,5.0,3.0,4.0
0.1,0.1,7.0,65.0,5.0,0.01,0.0
0.01,0.0,14.0,48.0,5.0,0.01,92.0
0.1,1.0,18.0,32.0,10.0,0.1,0.0
1.1,10.0,18.0,32.0,10.0,0.5,6.0
0.67,2.0,17.0,30.0,10.0,1.0,6.0
0.01,0.0,17.0,30.0,15.0,0.01,0.0
0.63,4.0,23.0,35.0,5.0,0.55,2.0
2.3,6.0,24.0,30.0,7.0,1.9,4.0
0.1,0.0,16.0,40.0,4.0,0.1,8.0
0.1,1.0,20.0,32.0,1.0,0.1,5.0
0.5,4.0,16.0,35.0,5.0,0.5,1.0
0.7,0.0,17.0,30.0,5.0,0.5,0.0
0.01,1.0,16.0,35.0,5.0,0.01,4.0
0.01,0.1,17.2,55.0,1.0,0.01,0.0
1.0,0.0,17.0,30.0,15.0,1.0,575.0
0.9,1.0,18.0,28.0,8.0,0.4,19.0
0.5,0.5,16.0,45.0,17.0,0.4,0.0
4.03,1.0,15.0,40.0,17.0,4.0,70.0
0.09,0.5,17.0,30.0,3.0,0.09,2.0
0.01,1.0,19.0,30.0,7.0,0.01,5.0
0.01,0.0,20.0,22.0,25.0,0.01,8.0
0.01,0.0,20.0,28.0,17.0,0.01,3.0
1.0,1.0,23.0,27.0,5.0,1.0,6.0
0.01,0.0,18.0,40.0,5.0,0.01,5.0
0.01,0.0,19.5,36.0,5.0,0.01,4.0
1.71,2.0,22.0,35.0,8.0,0.7,14.0
0.05,1.0,20.0,35.0,5.0,0.05,0.0
4.15,3.0,28.0,30.0,5.0,1.0,5.0
1.1,1.0,20.0,35.0,15.0,0.05,11.0
0.99,0.0,19.6,34.0,5.0,0.99,0.0
0.62,0.1,14.0,40.0,5.0,0.3,2.0
38.6,3.0,25.1,18.0,6.0,6.0,4.0
0.37,0.0,18.0,33.0,14.0,0.37,87.0
8.6,2.0,22.0,27.0,4.0,5.0,7.0
1.0,1.0,21.0,25.0,15.0,1.0,5.0
0.02,1.0,17.0,24.0,12.0,0.02,0.0
0.02,0.5,16.0,25.0,10.0,0.02,0.0
0.01,0.1,24.0,33.0,15.0,0.01,2.0
0.5,0.0,0.0,78.0,0.0,0.5,11.0
6.2,1.0,20.5,28.0,5.0,5.0,3.0
0.1,0.1,24.0,28.0,3.0,0.01,0.0
0.22,1.0,32.4,21.0,0.0,0.2,4.0
0.09,1.0,24.0,31.0,12.0,0.09,6.0
0.01,0.5,25.0,30.0,5.0,0.01,0.0
0.01,0.0,19.0,30.0,0.0,0.01,57.0
0.01,3.0,17.0,40.0,8.0,0.01,0.0
0.16,0.5,20.0,35.0,5.0,0.16,1.0
0.25,2.0,16.0,34.0,34.0,0.5,2.0
0.9,2.0,20.0,40.0,40.0,0.5,0.0
0.01,0.0,8.0,100.0,40.0,0.01,1.0
0.9,0.0,22.0,20.0,40.0,0.02,2.0
0.57,0.0,22.0,20.0,15.0,0.2,0.0
10.2,0.0,19.0,18.0,20.0,0.2,16.0
0.02,0.0,15.0,35.0,8.0,0.02,6.0
0.02,1.0,18.8,55.0,2.0,0.02,3.0
0.01,0.0,11.7,68.0,0.0,0.01,21.0
0.3,0.0,10.0,60.0,2.0,0.02,5.0
0.21,0.0,10.0,60.0,2.0,0.21,5.0
0.05,0.0,10.0,60.0,2.0,0.04,5.0
0.05,0.0,18.0,48.0,23.0,0.02,5.0
0.02,0.0,10.0,29.0,2.0,0.02,5.0
0.01,0.0,11.0,62.0,7.0,0.01,0.0
0.02,0.0,7.0,62.0,7.0,0.02,0.0
16.03,1.0,23.0,17.0,3.0,1.0,5.0
0.6,0.0,19.6,38.0,2.0,0.6,3.0
